Nombre,Pos. 1,Pos. 2,Pos. 3,Pos. 4,Pos. 5,Pos. 6,Pos. 7,Pos. 8,Pos. 9,Pos. 10,Pos. 11,Pos. 12
M VERSTAPPEN,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S PEREZ,2.0,1.0,5.0,1.0,2.0,16.0,4.0,6.0,3.0,6.0,3.0,2.0
F ALONSO,3.0,3.0,3.0,4.0,3.0,2.0,7.0,2.0,5.0,7.0,9.0,5.0
C SAINZ,4.0,6.0,12.0,5.0,5.0,8.0,5.0,5.0,6.0,10.0,8.0,19.0
L HAMILTON,5.0,5.0,2.0,6.0,6.0,4.0,2.0,3.0,8.0,3.0,4.0,4.0
L STROLL,6.0,20.0,4.0,7.0,12.0,20.0,6.0,9.0,9.0,14.0,10.0,9.0
G RUSSELL,7.0,4.0,18.0,8.0,4.0,5.0,3.0,19.0,7.0,5.0,6.0,6.0
V BOTTAS,8.0,18.0,11.0,18.0,13.0,11.0,19.0,10.0,15.0,12.0,12.0,12.0
P GASLY,9.0,9.0,13.0,14.0,8.0,7.0,10.0,12.0,10.0,18.0,20.0,11.0
A ALBON,10.0,19.0,19.0,12.0,14.0,14.0,16.0,7.0,11.0,8.0,11.0,14.0
Y TSUNODA,11.0,11.0,10.0,10.0,11.0,15.0,12.0,14.0,19.0,16.0,15.0,10.0
L SARGEANT,12.0,16.0,16.0,16.0,20.0,18.0,20.0,20.0,13.0,11.0,18.0,17.0
K MAGNUSSEN,13.0,10.0,17.0,13.0,10.0,19.0,18.0,17.0,18.0,19.0,17.0,15.0
N DE VRIES,14.0,14.0,15.0,20.0,18.0,12.0,14.0,18.0,17.0,17.0,,
N HULKENBERG,15.0,12.0,7.0,17.0,15.0,17.0,15.0,15.0,20.0,13.0,14.0,18.0
G ZHOU,16.0,13.0,9.0,19.0,16.0,13.0,9.0,16.0,12.0,15.0,16.0,13.0
L NORRIS,17.0,17.0,6.0,9.0,17.0,9.0,17.0,13.0,4.0,2.0,2.0,7.0
E OCON,18.0,8.0,14.0,15.0,9.0,3.0,8.0,8.0,14.0,20.0,19.0,8.0
C LECLERC,19.0,7.0,20.0,3.0,7.0,6.0,11.0,4.0,2.0,9.0,7.0,3.0
O PIASTRI,20.0,15.0,8.0,11.0,19.0,10.0,13.0,11.0,16.0,4.0,5.0,20.0
